Country,Year,Value
United States of America,2015,5.3
United States of America,2023,4.6
United States Virgin Islands,2005,10.8
United States Virgin Islands,2010,11.6
United States Virgin Islands,2015,12.3
United States Virgin Islands,2023,12.3
Uruguay,2005,12.0
Uruguay,2010,7.2
Uruguay,2015,7.5
Uruguay,2023,7.9
Uzbekistan,2005,7.1
Uzbekistan,2010,5.4
Uzbekistan,2015,5.2
Uzbekistan,2023,6.3
Vanuatu,2005,1.7
Vanuatu,2010,1.9
Vanuatu,2015,1.9
Vanuatu,2023,2.1
Venezuela (Boliv. Rep. of),2005,10.7
Venezuela (Boliv. Rep. of),2010,7.1
Venezuela (Boliv. Rep. of),2015,6.1
Venezuela (Boliv. Rep. of),2023,5.6
Viet Nam,2005,2.1
Viet Nam,2010,1.1
Viet Nam,2015,1.9
Viet Nam,2023,1.7
Western Sahara,2005,7.0
Western Sahara,2010,6.5
Western Sahara,2015,7.1
Western Sahara,2023,8.3
Yemen,2005,12.2
Yemen,2010,12.8
Yemen,2015,13.8
Yemen,2023,13.3
Zambia,2005,15.9
Zambia,2010,13.2
Zambia,2015,8.3
Zambia,2023,6.1
Zimbabwe,2005,4.5
Zimbabwe,2010,5.2
Zimbabwe,2015,5.3
Zimbabwe,2023,8.0
European Union (EU),2005,9.6
European Union (EU),2010,9.8
European Union (EU),2015,10.0
European Union (EU),2023,6.3
